representation,total_duration_us,mean_op_duration_us,std_op_duration_us,total_ops,rotation_count,rescale_count,relin_count,bootstrap_count,start_level,end_level,level_drop,level_variance,unique_rotation_amounts,rotation_amount_entropy,peak_memory,kernel_count
ckks,0.000000,0.000000,0.000000,8.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.194444,5.000000,2.321928,0.000000,0.000000
ckks,43961.000000,3996.454545,10243.946684,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43442.000000,3949.272727,10107.487325,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43102.000000,3918.363636,10013.467214,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43531.000000,3957.363636,10081.173069,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,44419.000000,4038.090909,10297.455525,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43331.000000,3939.181818,10146.274615,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43532.000000,3957.454545,10132.861663,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,43850.000000,3986.363636,10228.606936,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,45759.000000,4159.909091,10778.984984,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
ckks,44385.000000,3698.750000,9819.060917,12.000000,6.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.256410,6.000000,2.584963,0.000000,0.000000
ckks,0.000000,0.000000,0.000000,9.000000,6.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.177778,6.000000,2.584963,0.000000,0.000000
ckks,45024.000000,3752.000000,10125.754993,12.000000,6.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.256410,6.000000,2.584963,0.000000,0.000000
ckks,44102.000000,3675.166667,9822.187757,12.000000,6.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.256410,6.000000,2.584963,0.000000,0.000000
